,id,last_modified_date,admreg,admreg_key,authors,count,count_key,docna,docty,docty_key,owner,projn,subsc,trustfund,trustfund_key,theme,prdln,prdln_key,seccl,lang,lang_key,lndinstr,lndinstr_key,entityids,repnb,docdt,datestored,majdocty,majdocty_key,display_title,disclosure_date,disclosure_type,pdfurl,txturl,listing_relative_url,url_friendly_title,new_url,ext_pub_date,disclstat,docm_id,chronical_docm_id,publishtoextweb_dt,versiontyp,versiontyp_key,projectid,guid,no_of_pages,author_keys,available_in,fullavailablein,url,EnvironmentalCategory,bdmdt,volnb,closedt,topicv3,origu,loan_no
0,34458416,2025-02-20T00:00:00Z,"Europe and Central Asia,Europe and Central Asia","119226,119226",{'0': {'author': 'zgen alar'}},Turkiye,82578,{'0': {'docna': 'Turkiye - EUROPE AND CENTRAL ASIA- P179217-\n            Land management infrastructure for green and sustainable\n            development - Procurement Plan'}},Procurement_Plan,739941,Infra ECA Urban (IECUR),TR_Land_Management_Infrastructure_For_Green_And_Sustainable_Develo____P179217,"FY17 - Public Administration - Agriculture,
            Fishing & Forestry,FY17 - Central Government (Central Agencies),FY17 - Sub-National Government","TF0C4083_Leveraging_property_and_geospatial_data_for_disaster_and_climate_resili,TF0C5286_T00fcrkiye:_Leveraging_National_Spatial_Data_Infrastructure_for_Smart_C,TF0C6078_GSCP___C2___Turkiye:_Geospatial_informed_Smart_City_Strategies_for_Publ","2396084,2442455,2463445","Public Administration,Mitigation,Municipal Institution Building,Human Development and Gender,ICT,ICT Solutions,Rural Development,Social Development and Protection,Environment and Natural Resource Management,Finance,Private Sector Development,Public Sector Management,Land Administration and Management,Climate change,Urban and Rural Development,Adaptation,Geospatial Services,Administrative and Civil Service Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34458416'},STEP109376,2025-02-20T00:00:00Z,2025-02-20T03:45:16Z,Project Documents,658102,"Turkiye - EUROPE AND CENTRAL
            ASIA- P179217- Land management infrastructure for green and
            sustainable development - Procurement Plan",2025-02-20T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099022025104517097/pdf/P17921716becb702318c7f1877bdbd88e20.pdf,http://documents.worldbank.org/curated/en/099022025104517097/text/P17921716becb702318c7f1877bdbd88e20.txt,/projects/documents/2025/02/34458416/turkiye-europe-central-asia--p179217--land-management-infrastructure-green-sustainable-development-procurement-plan,http://documents.worldbank.org/curated/en/099022025104517097/P17921716becb702318c7f1877bdbd88e20,2025/02/34458416/P17921716becb702318c7f1877bdbd88e20,2025-02-20T00:00:00Z,Disclosed,P179217-6becb797-7ba3-4723-8c7f-877bdbd88e20,P179217-6becb797-7ba3-4723-8c7f-877bdbd88e20,2025-02-20T00:00:00Z,Final,1309935,P179217,099022025104517097,5,{'0': {'author_key': 'NA'}},English,[],http://documents.worldbank.org/curated/en/099022025104517097/P17921716becb702318c7f1877bdbd88e20,,,,,,,
1,34455728,2025-02-13T00:00:00Z,"Latin America & Caribbean,Latin America & Caribbean","119228,119228","{'0': {'author': 'Siegmann,Katharina'}}",Dominican_Republic,82640,{'0': {'docna': 'Disclosable Version of the ISR - Sustainable\n            Development DPL - P500557 - Sequence No : 1'}},Implementation_Status_and_Results_Report,791001,LAC ENB 1 (SLCE1),DO_Sustainable_Development_Dpl____P500557,,"TF0C5780_Technical_Assistance_for_Establishing_Science_Based_Policy_Options_for,TF0C5873_Investing_in_the_Dominican_Republics_Green_Recovery_and_Blue_Economy","2458413,2458505",,IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Development Policy Lending'}},776408,{'entityid': '34455728'},ISR03327,2025-02-13T00:00:00Z,2025-02-13T08:00:14Z,Project Documents,658102,"Disclosable Version of the ISR -
            Sustainable Development DPL - P500557 - Sequence No : 1",2025-02-13T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099021325030038980/pdf/P50055718e687f0d71b4a31e1e3f63da6bf.pdf,http://documents.worldbank.org/curated/en/099021325030038980/text/P50055718e687f0d71b4a31e1e3f63da6bf.txt,/projects/documents/2025/02/34455728/disclosable-version-isr-sustainable-development-dpl-p500557-sequence-no-1,http://documents.worldbank.org/curated/en/099021325030038980/P50055718e687f0d71b4a31e1e3f63da6bf,2025/02/34455728/P50055718e687f0d71b4a31e1e3f63da6bf,2025-02-13T00:00:00Z,Disclosed,P500557-8e687f3c-ed3f-44d7-b4a3-e1e3f63da6bf,P500557-8e687f3c-ed3f-44d7-b4a3-e1e3f63da6bf,2025-02-13T00:00:00Z,Final,1309935,P500557,099021325030038980,7,{'0': {'author_key': '1262205'}},English,[],http://documents.worldbank.org/curated/en/099021325030038980/P50055718e687f0d71b4a31e1e3f63da6bf,,,,,,,
2,34451551,2025-01-30T00:00:00Z,"Europe and Central Asia,Europe and Central Asia","119226,119226","{'0': {'author': 'Corsi,Anna'}}",Turkiye,82578,{'0': {'docna': 'Disclosable Version of the ISR - Land\n            management infrastructure for green and sustainable\n            development - P179217 - Sequence No : 4'}},Implementation_Status_and_Results_Report,791001,Infra ECA Urban (IECUR),TR_Land_Management_Infrastructure_For_Green_And_Sustainable_Develo____P179217,"FY17 - Public Administration - Agriculture,
            Fishing & Forestry,FY17 - Central Government (Central Agencies),FY17 - Sub-National Government","TF0C4083_Leveraging_property_and_geospatial_data_for_disaster_and_climate_resili,TF0C5286_T00fcrkiye:_Leveraging_National_Spatial_Data_Infrastructure_for_Smart_C,TF0C6078_GSCP___C2___Turkiye:_Geospatial_informed_Smart_City_Strategies_for_Publ","2396084,2442455,2463445","Public Administration,Mitigation,Municipal Institution Building,Human Development and Gender,ICT,ICT Solutions,Rural Development,Social Development and Protection,Environment and Natural Resource Management,Finance,Private Sector Development,Public Sector Management,Land Administration and Management,Climate change,Urban and Rural Development,Adaptation,Geospatial Services,Administrative and Civil Service Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34451551'},ISR03131,2025-01-30T00:00:00Z,2025-01-30T04:55:09Z,Project Documents,658102,"Disclosable Version of the ISR -
            Land management infrastructure for green and sustainable
            development - P179217 - Sequence No : 4",2025-01-30T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099013025115519336/pdf/P179217149e2e60591811911bc22dfa2501.pdf,http://documents.worldbank.org/curated/en/099013025115519336/text/P179217149e2e60591811911bc22dfa2501.txt,/projects/documents/2025/01/34451551/disclosable-version-isr-land-management-infrastructure-green-sustainable-development-p179217-sequence-no-4,http://documents.worldbank.org/curated/en/099013025115519336/P179217149e2e60591811911bc22dfa2501,2025/01/34451551/P179217149e2e60591811911bc22dfa2501,2025-01-30T00:00:00Z,Disclosed,P179217-49e2e6b5-53f2-4859-8119-1bc22dfa2501,P179217-49e2e6b5-53f2-4859-8119-1bc22dfa2501,2025-01-30T00:00:00Z,Final,1309935,P179217,099013025115519336,9,{'0': {'author_key': '439473'}},English,[],http://documents.worldbank.org/curated/en/099013025115519336/P179217149e2e60591811911bc22dfa2501,,,,,,,
3,34450050,2025-01-27T00:00:00Z,"Latin America & Caribbean,Latin America & Caribbean","119228,119228","{'0': {'author': 'Paviot,Marie Caroline'}}",Brazil,82649,{'0': {'docna': 'Disclosable Restructuring Paper - Ceara\n            Rural Sustainable Development and Competitiveness Phase II - P167455'}},Project_Paper,810308,Agriculture and Food PG LAC (SLCAG),BR_Ceara_Rural_Sustainable_Development_And_Competitiveness_Phase_I____P167455,"FY17 - Public Administration - Agriculture,
            Fishing & Forestry,FY17 - Sanitation,FY17 - Water Supply,FY17 - Other Water Supply, Sanitation and
            Waste Management,FY17 - Agricultural markets,
            commercialization and agri-business,FY17 - Social Protection",,,"Rural Markets,Mitigation,Rural Water and Sanitation,Gender,Human Development and Gender,Rural Development,Environment and Natural Resource Management,Private Sector Development,Water Resource Management,Climate change,Urban and Rural Development,Jobs,Adaptation,Water Institutions, Policies and Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34450050'},RES00675,2025-01-27T00:00:00Z,2025-01-27T06:45:11Z,Project Documents,658102,"Disclosable Restructuring Paper -
            Ceara Rural Sustainable Development and Competitiveness
            Phase II - P167455",2025-01-27T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099012725134519362/pdf/P16745513f8deb0631a52e1e01960be360f.pdf,http://documents.worldbank.org/curated/en/099012725134519362/text/P16745513f8deb0631a52e1e01960be360f.txt,/projects/documents/2025/01/34450050/disclosable-restructuring-paper-ceara-rural-sustainable-development-competitiveness-phase-ii-p167455,http://documents.worldbank.org/curated/en/099012725134519362/P16745513f8deb0631a52e1e01960be360f,2025/01/34450050/P16745513f8deb0631a52e1e01960be360f,2025-01-27T00:00:00Z,Disclosed,P167455-3f8deb63-ac12-4063-a52e-e01960be360f,P167455-3f8deb63-ac12-4063-a52e-e01960be360f,2025-01-27T00:00:00Z,Final,1309935,P167455,099012725134519362,19,{'0': {'author_key': '1598965'}},English,[],http://documents.worldbank.org/curated/en/099012725134519362/P16745513f8deb0631a52e1e01960be360f,B,,,,,,
4,34449455,2025-02-14T00:00:00Z,,,{'0': {'author': 'World Bank'}},Honduras,82596,{'0': {'docna': 'Honduras - First Fiscal and Climate\n            Transparency and Sustainability Development Policy Financing'}},Program_Document,640991,EFI-LCR-MTI-MacroFiscal (ELCMU),HN_First_Fiscal_And_Climate_Transparency_And_Sustainability_Develo____P179909,,,,,IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Development Policy Lending'}},776408,{'entityid': '34449455'},PD000052,2025-01-16T00:00:00Z,2025-01-24T03:05:15Z,Project Documents,658102,"Honduras - First Fiscal and
            Climate Transparency and Sustainability Development Policy Financing",2025-02-14T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099012425100519656/pdf/BOSIB14a42e3730f41b3261dc1bcfe065fc.pdf,http://documents.worldbank.org/curated/en/099012425100519656/text/BOSIB14a42e3730f41b3261dc1bcfe065fc.txt,/projects/documents/2025/01/34449455/honduras-first-fiscal-climate-transparency-sustainability-development-policy-financing,http://documents.worldbank.org/curated/en/099012425100519656/BOSIB14a42e3730f41b3261dc1bcfe065fc,2025/01/34449455/BOSIB14a42e3730f41b3261dc1bcfe065fc,2025-02-14T00:00:00Z,Disclosed,BOSIB-4a42e373-a75a-4ff4-b326-dc1bcfe065fc,BOSIB-4a42e373-a75a-4ff4-b326-dc1bcfe065fc,2025-02-14T00:00:00Z,Final,1309935,P179909,099012425100519656,59,{'0': {'author_key': 'NA'}},English,[],http://documents.worldbank.org/curated/en/099012425100519656/BOSIB14a42e3730f41b3261dc1bcfe065fc,,2025-02-14T00:00:00Z,1,2025-02-14T00:00:00Z,"Financial Integrity m1326313 328,Investment Climate(IC) m1327235 401",,
5,34437956,2024-12-18T00:00:00Z,"Latin America & Caribbean,Latin America & Caribbean","119228,119228","{'0': {'author': 'Ramirez,Maria Catalina'}}",Argentina,82668,{'0': {'docna': 'Disclosable Restructuring Paper -\n            Matanza-Riachuelo Basin Sustainable Development Project - P105680'}},Project_Paper,810308,Water Latin America & Caribbean (SLCWA),AR_Matanza_Riachuelo_Basin_Sustainable_Development_Project____P105680,"Public Administration - Water, Sanitation
            and Waste Management,Other Public Administration,Other Transportation,Sanitation,Water Supply,Other Water Supply, Sanitation and Waste Management","TF098374_Supporting_the_Implementation_of_Phase_1_of_the_Matanza_Riachuelo_Basin,TF0B8604_Circular_Economy_Actions_for_Non_Point_Source_Pollution_Reduction_at_th,TF0B9831_Circular_Economy_for_Waste_Management_in_Province_of_Buenos_Aires","1136287,2169235,2230395","Urban Infrastructure and Service Delivery,Disaster Preparedness,Disaster Risk Reduction,Disaster Response and Recovery,Environmental Health and Pollution Management,Air quality management,Environment and Natural Resource Management,Finance for Development,Finance,Private Sector Development,Water Resource Management,Environmental policies and institutions,Urban and Rural Development,Water Pollution,Disaster Risk Finance,Soil Pollution,Water Institutions, Policies and Reform,Disaster Risk Management,Urban Development,Public Private Partnerships",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34437956'},RES00573,2024-12-18T00:00:00Z,2024-12-18T02:30:15Z,Project Documents,658102,"Disclosable Restructuring Paper -
            Matanza-Riachuelo Basin Sustainable Development Project - P105680",2024-12-18T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099121824093013721/pdf/P10568011693200cd18f5d1a0cc3c0eca4a.pdf,http://documents.worldbank.org/curated/en/099121824093013721/text/P10568011693200cd18f5d1a0cc3c0eca4a.txt,/projects/documents/2024/12/34437956/disclosable-restructuring-paper-matanza-riachuelo-basin-sustainable-development-project-p105680,http://documents.worldbank.org/curated/en/099121824093013721/P10568011693200cd18f5d1a0cc3c0eca4a,2024/12/34437956/P10568011693200cd18f5d1a0cc3c0eca4a,2024-12-18T00:00:00Z,Disclosed,P105680-16932015-dfb2-44cd-8f5d-a0cc3c0eca4a,P105680-16932015-dfb2-44cd-8f5d-a0cc3c0eca4a,2024-12-18T00:00:00Z,Final,1309935,P105680,099121824093013721,8,{'0': {'author_key': '949729'}},English,[],http://documents.worldbank.org/curated/en/099121824093013721/P10568011693200cd18f5d1a0cc3c0eca4a,,,,,,,
6,34437827,2024-12-18T00:00:00Z,"Latin America & Caribbean,Latin America & Caribbean","119228,119228",{'0': {'author': 'Lafaete Almeida de Oliveira'}},Brazil,82649,{'0': {'docna': 'Brazil - LATIN AMERICA AND CARIBBEAN-\n            P167455- Ceara Rural Sustainable Development and\n            Competitiveness Phase II - Procurement Plan'}},Procurement_Plan,739941,Agriculture and Food PG LAC (SLCAG),BR_Ceara_Rural_Sustainable_Development_And_Competitiveness_Phase_I____P167455,"Public Administration - Agriculture, Fishing
            & Forestry,Sanitation,Water Supply,Other Water Supply, Sanitation and Waste Management,Agricultural markets, commercialization and agri-business,Social Protection",,,"Rural Markets,Mitigation,Rural Water and Sanitation,Gender,Human Development and Gender,Rural Development,Environment and Natural Resource Management,Private Sector Development,Water Resource Management,Climate change,Urban and Rural Development,Jobs,Adaptation,Water Institutions, Policies and Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34437827'},STEP106880,2024-12-18T00:00:00Z,2024-12-18T12:05:15Z,Project Documents,658102,"Brazil - LATIN AMERICA AND
            CARIBBEAN- P167455- Ceara Rural Sustainable Development and
            Competitiveness Phase II - Procurement Plan",2024-12-18T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099121824070536142/pdf/P1674551a9997e08719f431e0c6e2d7f9bc.pdf,http://documents.worldbank.org/curated/en/099121824070536142/text/P1674551a9997e08719f431e0c6e2d7f9bc.txt,/projects/documents/2024/12/34437827/brazil-latin-america-caribbean--p167455--ceara-rural-sustainable-development-competitiveness-phase-ii-procurement-plan,http://documents.worldbank.org/curated/en/099121824070536142/P1674551a9997e08719f431e0c6e2d7f9bc,2024/12/34437827/P1674551a9997e08719f431e0c6e2d7f9bc,2024-12-18T00:00:00Z,Disclosed,P167455-a9997ea6-a458-4e87-9f43-e0c6e2d7f9bc,P167455-a9997ea6-a458-4e87-9f43-e0c6e2d7f9bc,2024-12-18T00:00:00Z,Final,1309935,P167455,099121824070536142,13,{'0': {'author_key': 'NA'}},English,[],http://documents.worldbank.org/curated/en/099121824070536142/P1674551a9997e08719f431e0c6e2d7f9bc,B,,,,,Agriculture and Food PG LAC (SLCAG),
7,34437825,2024-12-18T00:00:00Z,"Latin America & Caribbean,Latin America & Caribbean","119228,119228",{'0': {'author': 'Maria Salene Maia da Silva'}},Brazil,82649,{'0': {'docna': 'Brazil - LATIN AMERICA AND CARIBBEAN-\n            P167455- Ceara Rural Sustainable Development and\n            Competitiveness Phase II - Procurement Plan'}},Procurement_Plan,739941,Agriculture and Food PG LAC (SLCAG),BR_Ceara_Rural_Sustainable_Development_And_Competitiveness_Phase_I____P167455,"Public Administration - Agriculture, Fishing
            & Forestry,Sanitation,Water Supply,Other Water Supply, Sanitation and Waste Management,Agricultural markets, commercialization and agri-business,Social Protection",,,"Rural Markets,Mitigation,Rural Water and Sanitation,Gender,Human Development and Gender,Rural Development,Environment and Natural Resource Management,Private Sector Development,Water Resource Management,Climate change,Urban and Rural Development,Jobs,Adaptation,Water Institutions, Policies and Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34437825'},STEP106879,2024-12-18T00:00:00Z,2024-12-18T12:05:08Z,Project Documents,658102,"Brazil - LATIN AMERICA AND
            CARIBBEAN- P167455- Ceara Rural Sustainable Development and
            Competitiveness Phase II - Procurement Plan",2024-12-18T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099121824070526315/pdf/P1674551e370ce02518c2512b20ef33a0f2.pdf,http://documents.worldbank.org/curated/en/099121824070526315/text/P1674551e370ce02518c2512b20ef33a0f2.txt,/projects/documents/2024/12/34437825/brazil-latin-america-caribbean--p167455--ceara-rural-sustainable-development-competitiveness-phase-ii-procurement-plan,http://documents.worldbank.org/curated/en/099121824070526315/P1674551e370ce02518c2512b20ef33a0f2,2024/12/34437825/P1674551e370ce02518c2512b20ef33a0f2,2024-12-18T00:00:00Z,Disclosed,P167455-e370ce58-16ce-4525-8c25-2b20ef33a0f2,P167455-e370ce58-16ce-4525-8c25-2b20ef33a0f2,2024-12-18T00:00:00Z,Final,1309935,P167455,099121824070526315,17,{'0': {'author_key': 'NA'}},English,[],http://documents.worldbank.org/curated/en/099121824070526315/P1674551e370ce02518c2512b20ef33a0f2,B,,,,,Agriculture and Food PG LAC (SLCAG),
8,34435900,2024-12-13T00:00:00Z,"Europe and Central Asia,Europe and Central Asia","119226,119226",{'0': {'author': 'zgen alar'}},Turkiye,82578,{'0': {'docna': 'Turkiye - EUROPE AND CENTRAL ASIA- P179217-\n            Land management infrastructure for green and sustainable\n            development - Procurement Plan'}},Procurement_Plan,739941,Infra ECA Urban (IECUR),TR_Land_Management_Infrastructure_For_Green_And_Sustainable_Develo____P179217,"Public Administration - Agriculture, Fishing
            & Forestry,Central Government (Central Agencies),Sub-National Government","TF0C4083_Leveraging_property_and_geospatial_data_for_disaster_and_climate_resili,TF0C5286_T00fcrkiye:_Leveraging_National_Spatial_Data_Infrastructure_for_Smart_C,TF0C6078_GSCP___C2___Turkiye:_Geospatial_informed_Smart_City_Strategies_for_Publ","2396084,2442455,2463445","Public Administration,Mitigation,Municipal Institution Building,Human Development and Gender,ICT,ICT Solutions,Rural Development,Social Development and Protection,Environment and Natural Resource Management,Finance,Private Sector Development,Public Sector Management,Land Administration and Management,Climate change,Urban and Rural Development,Adaptation,Geospatial Services,Administrative and Civil Service Reform",IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Investment Project Financing'}},1353855,{'entityid': '34435900'},STEP106684,2024-12-13T00:00:00Z,2024-12-13T02:25:10Z,Project Documents,658102,"Turkiye - EUROPE AND CENTRAL
            ASIA- P179217- Land management infrastructure for green and
            sustainable development - Procurement Plan",2024-12-13T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099121324092523736/pdf/P1792171ec66590831a4f41e46fbda47aa8.pdf,http://documents.worldbank.org/curated/en/099121324092523736/text/P1792171ec66590831a4f41e46fbda47aa8.txt,/projects/documents/2024/12/34435900/turkiye-europe-central-asia--p179217--land-management-infrastructure-green-sustainable-development-procurement-plan,http://documents.worldbank.org/curated/en/099121324092523736/P1792171ec66590831a4f41e46fbda47aa8,2024/12/34435900/P1792171ec66590831a4f41e46fbda47aa8,2024-12-13T00:00:00Z,Disclosed,P179217-ec66590f-2687-4083-a4f4-e46fbda47aa8,P179217-ec66590f-2687-4083-a4f4-e46fbda47aa8,2024-12-13T00:00:00Z,Final,1309935,P179217,099121324092523736,5,{'0': {'author_key': 'NA'}},English,[],http://documents.worldbank.org/curated/en/099121324092523736/P1792171ec66590831a4f41e46fbda47aa8,,,,,,,
9,34432197,2024-12-04T00:00:00Z,"South Asia,South Asia","119231,119231","{'0': {'author': 'Chichgar,Sharlene Jehanbux'}}",India,82602,{'0': {'docna': 'P502491 - Draft Environmental and Social\n            Systems Assessment (ESSA) - Haryana Clean Air and\n            Sustainable Development Program'}},Program_for_Results_Environmental_and_Social_Systems_Assessment,1545891,SAR Environment PM 1 (SSAE1),IN_Haryana_Clean_Air_And_Sustainable_Development_Program_P502491,,TF0C4697_Haryana_Clean_Air_Project_for_Sustainable_Development:_Clean_Cooking_Pr,2416574,,IBRD/IDA,639266,Public,English,120701,{'0': {'lndinstr': 'Program-for-Results'}},1353856,{'entityid': '34432197'},,2024-12-04T00:00:00Z,2024-12-04T03:55:11Z,Project Documents,658102,"P502491 - Draft Environmental and
            Social Systems Assessment (ESSA) - Haryana Clean Air and
            Sustainable Development Program",2024-12-04T00:00:00Z,NA,http://documents.worldbank.org/curated/en/099120424105578177/pdf/P5024911037dd0051a8bf172babc923498.pdf,http://documents.worldbank.org/curated/en/099120424105578177/text/P5024911037dd0051a8bf172babc923498.txt,/projects/documents/2024/12/34432197/p502491-draft-environmental-social-systems-assessment-essa-haryana-clean-air-sustainable-development-program,http://documents.worldbank.org/curated/en/099120424105578177/P5024911037dd0051a8bf172babc923498,2024/12/34432197/P5024911037dd0051a8bf172babc923498,2024-12-04T00:00:00Z,Disclosed,P502491-037dd0b0-4bad-4685-a8bf-72babc923498,P502491-037dd0b0-4bad-4685-a8bf-72babc923498,2024-12-04T00:00:00Z,Final,1309935,P502491,099120424105578177,64,{'0': {'author_key': '1222754'}},English,[],http://documents.worldbank.org/curated/en/099120424105578177/P5024911037dd0051a8bf172babc923498,,,,,,,
